企业名称,注册资本,企业地址
无锡祥生医疗科技股份有限公司,8000万元人民币,无锡新吴区硕放工业园五期51、53号地块长江东路228号
无锡市宇寿医疗器械有限公司,6000万元人民币,无锡市锡山区农新河路115号
无锡佳健医疗器械股份有限公司,1800万元人民币,无锡市锡山区鹅湖镇柏桥路35号
无锡兰桂医疗股份有限公司,540万元人民币,无锡市新区新洲路210号
无锡顶点医疗器械有限公司,158.7302万元人民币,无锡市新吴区长江南路35-209号
无锡市尚沃医疗电子股份有限公司,3000万元人民币,无锡市新区长江路34号地块科技园一区103室
江苏瑞尔医疗科技有限公司,3433.747543万元人民币,无锡市锡山经济开发区芙蓉中三路99号
江苏风和医疗器材股份有限公司,1333.333万元人民币,江阴市东盛西路6号D3第一层
江苏海泽医疗科技发展有限公司,8271万元人民币,无锡市锡山经济开发区芙蓉中三路99号
江苏天瑞精准医疗科技有限公司,1328.95万元人民币,无锡市滨湖区湖滨路688-901
江阴高峰医疗科技有限公司,980.8864万元人民币,江阴市徐霞客镇马镇工业园区北绛3号
无锡百思维医疗系统有限公司,1000万元人民币,无锡蠡园开发区五三零大厦1号十六层1602室
江阴万康医疗科技有限公司,1000万元人民币,江阴市城东街道东盛西路6号A7-2号
江苏尼科医疗器械有限公司,1263.742715万元人民币,无锡市滨湖区十八湾路288号湖景科技园17号楼
无锡龚氏医疗科技有限公司,900万元人民币,无锡市高浪东路999号启航大厦
无锡舒美棠医疗技术有限公司,970万元人民币,无锡市锡山经济技术开发区芙蓉中三路99号
维怡医疗科技有限公司,1008万美元,无锡市新吴区长江南路35-201
无锡声亚医疗科技有限公司,1246万元人民币,无锡市锡山区安镇街道兖矿信达大厦A栋11层
江苏璞临医疗科技有限公司,1000万元人民币,江阴市高新技术产业开发区东定路18号
无锡蓝影医疗科技有限公司,500万元人民币,无锡惠山经济开发区惠山大道1699号C区1406室(开发区)
江阴万事兴医疗器械股份有限公司,1870万元人民币,江阴市澄杨路1001号
无锡华卫医疗科技有限公司,27720万元人民币,无锡市新吴区汉江路10号
无锡海鹰医疗科技股份有限公司,6500万元人民币,无锡市新吴区太科园清源路20号立业楼C区101号房
TCL医疗核磁技术（无锡）有限公司,3000万美元,无锡新区清源路20号传感网大学科技园立业楼B区108号房
江苏戴美特医疗科技有限公司,1000万美元,江阴市临港经济开发区机械装备产业园巨轮村沟湾里
无锡海鹰电子医疗系统有限公司,2020万元人民币,无锡新吴区科技创业园二区205室
通用电气医疗系统（中国）有限公司,2490万美元,无锡国家高新技术产业开发区长江路19号
江苏圣民医疗科技有限公司,5000万元人民币,无锡市新吴区龙山路4号B幢1201
无锡时代天使医疗器械科技有限公司,2600万美元,无锡惠山经济开发区惠山大道1619号
安特速（江苏）医疗科技有限公司,800万美元,无锡惠山经济开发区惠山大道1699号七号楼六层B区(开发区)
无锡悠宝医疗用品有限公司,200万元人民币,无锡市金山四支路8号2号楼2楼
无锡TCL医疗影像技术有限公司,8780万元人民币,无锡市滨湖区锦溪路99号1号楼4单元202
麟科泰医疗技术（无锡）有限公司,440万欧元,无锡市锡山经济技术开发区云林万全路30号G幢
凯思轩达医疗科技无锡有限公司,1754.38万元人民币,无锡市新吴区天安智慧城6
无锡玖晟医疗科技有限公司,3000万元人民币,江阴市人民中路289号泓昇商务大厦9楼C座
新瑞阳光粒子医疗装备（无锡）有限公司,10000万美元,无锡市南湖大道588号217室
国药控股无锡医疗器械有限公司,1000万元人民币,无锡市惠山区前洲街道中惠大道1588号恒生科技园15、16
江苏阳光海克医疗器械有限公司,11750万元人民币,江阴市新桥镇陶新路18号
江阴市奥亿康医疗器械有限公司,3600万元人民币,江阴市徐霞客镇金凤村周家村74号
福村宝医疗科技有限公司,5000万元人民币,江阴市华西村民族路8号一楼大厅
阳光卫生医疗科技江阴有限公司,20000万元人民币,江阴市延陵东路999号
无锡三胞医疗管理有限公司,10000万元人民币,无锡市惠山区堰新路219
无锡汉佳医疗科技有限公司,5000万元人民币,锡山区安镇街道胶阳路2900号
江苏九正通医疗器械有限公司,5000万元人民币,无锡市惠山区前洲街道中惠大道1588号恒生科技园15、16栋(城铁惠山站区)
无锡市闻泰百得医疗器械有限公司,5100万元人民币,无锡市锡山区锡北镇工业集中区张泾泾瑞路8-9号
TCL医疗超声技术（无锡）有限公司,3000万美元,无锡新区清源路20号传感网大学科技园立业楼A区301号房
江苏鼎旭新医疗科技有限公司,3000万元人民币,无锡新吴区清源路20号太科园传感网大学科技园立业楼E区310号
无锡新未来医疗美容有限公司,200万元人民币,无锡市优谷商务园17单元
无锡和寓医疗科技有限公司,10000万元人民币,无锡市滨湖区太湖西大道1890-2601
江阴滨江医疗设备有限公司,1200万元人民币,江阴市周庄镇长寿云顾路38号
无锡市九龙医疗器械有限公司,1000万元人民币,无锡市新区硕放溇金村世家桥西路东侧马仙桥路北侧
无锡健寿医疗科技有限公司,400万元人民币,无锡市清扬路下甸桥南堍
无锡倍达医疗科技有限公司,3000万元人民币,无锡惠山经济开发区惠山大道1699号7号楼一层B区
福企宝医疗科技有限公司,5000万元人民币,江阴市华西村民族路8号一楼
泰富医疗产业江阴有限公司,10000万元人民币,江阴市滨江西路8号3号楼619室
江苏图灵医疗科技有限公司,3500万元人民币,无锡惠山经济开发区惠山大道1619号1137室
江苏新雅精准医疗科技有限公司,5000万元人民币,无锡市滨湖区马山梅梁路116号
西力可医疗技术有限公司,5000万元人民币,无锡市梁溪区南湖大道588号312室
无锡射手医疗技术有限公司,2800万元人民币,无锡市锡山经济技术开发区芙蓉中三路99号
无锡帕母医疗技术有限公司,2000万元人民币,无锡市锡山经济技术开发区芙蓉中三路99号
无锡拾米医疗科技有限公司,1000万元人民币,无锡市滨湖区金融一街15号平安财富中心写字楼4层08A单元
江苏文曲医疗器械有限公司,5000万元人民币,无锡市梁溪区运河东路557-3021
群曜医疗科技（无锡）有限公司,900万美元,无锡市新吴区长江南路35-107号
碧迪医疗科技（江苏）有限公司,5199.7205万元人民币,宜兴市新街街道绿园路888-8号
江苏采纳医疗科技有限公司,13000万元人民币,江阴市祝塘镇环西路23号
江阴市医疗器械有限公司,1000万元人民币,江阴市临港新城夏港镇澄路698号
江苏荣孚康医疗器械有限公司,2000万美元,江阴市东盛西路6号D6栋3层
无锡迈骏医疗科技有限公司,500万元人民币,无锡市太湖西大道1890号太湖明珠发展大厦22楼2203室
江苏翎羽医疗科技有限公司,3001万元人民币,无锡市太湖西大道2168-203
江苏比昂医疗健康管理有限公司,5000万元人民币,无锡市五湖大道11号蠡湖科创中心南楼1901室
无锡市神康医疗器械设备有限公司,1500万元人民币,宜兴市和桥镇鹅州南路318号
无锡市瑞源普斯医疗器械有限公司,1500万元人民币,宜兴市和桥镇鹅州南路387号
中科瀛海医疗科技有限公司,5000万元人民币,江阴市新桥镇西戴路8号
博仁德综合医疗中心有限公司,60000万元人民币,江阴市月城镇畅园路48-1号
江阴市泛美医疗器械有限公司,3800万元人民币,江阴市申港街道移山路19号
无锡市医疗仪器有限公司,77.23万元人民币,无锡市南长区扬名镇中南路5号
无锡通康医疗器械有限公司,3000万元人民币,无锡惠山经济开发区堰新路311号3号楼1005室
无锡市天一医疗器材有限公司,800万元人民币,无锡市锡山区锡北镇泾虹路58号优谷产业园79号
无锡正大利医疗器械有限公司,5000万元人民币,无锡市锡山区东北塘正阳村东方钢材城63号212室
无锡市北创医疗管理有限公司,10000万元人民币,无锡市梁溪区兴源北路401号(北创科技园一期大楼16楼)
欧特（中国）医疗科技有限公司,9883.254474万元人民币,无锡国家高新技术产业开发区94号地块A2号房
江苏富朗特医疗科技有限公司,1008万元人民币,无锡市滨湖区胡埭镇联合路19号
无锡禾基医疗科技有限公司,1000万元人民币,无锡惠山经济开发区智慧路18号1105室
江苏瑞源康医疗器械有限公司,3800万元人民币,宜兴市和桥镇工业集中区
无锡华纳医疗科技有限公司,1885万元人民币,无锡蠡园开发区标准厂房A1第五层
无锡东宏生物医疗科技有限公司,5200万元人民币,无锡市运河东路557-1905、1906
无锡贝壳医疗产业有限公司,3000万元人民币,无锡市新吴区旺庄路186-3
江苏国裕医疗科技有限公司,1000万元人民币,无锡市滨湖区胡埭工业园刘闾路88号
江阴市新盛医疗器材设备有限公司,1776万元人民币,江阴市利港街道东刘墅53号(经营场所:江阴市利港街道文欣路97号)
江苏凯泰医疗科技有限公司,3000万元人民币,无锡市锡山区锡北镇锡港路张泾东段180号
无锡启点医疗科技有限公司,500万元人民币,无锡市新吴区招商城路99号515
无锡苏亚医疗美容医院有限公司,500万元人民币,无锡市人民东路301号
无锡快邦医疗科技有限公司,1000万元人民币,无锡市新吴区无锡中关村软件园22(A5)号楼
无锡海德曼医疗设备有限公司,2254.996763万元人民币,无锡惠山经济开发区惠山大道1699号七号楼六层A区
江苏海莱新创医疗科技有限公司,3612.9316万元人民币,无锡惠山经济开发区惠山大道1699号七号楼七层A区、B区
无锡中盛医疗设备有限公司,1000万元人民币,无锡市锡山经济开发区芙蓉中三路99号
江苏宝瑞医疗器械有限公司,1000万元人民币,无锡市中山路198B-807
无锡生命树医疗科技有限公司,1960万元人民币,无锡市滨湖区锦溪路100号科教创业园3号楼803-2室
无锡建宁医疗器械有限公司,810万元人民币,无锡市兴源北路588号
无锡科美达医疗科技有限公司,1110万元人民币,无锡蠡园开发区标准厂房A6楼二层
江苏邦盛振业医疗器械有限公司,2500万元人民币,无锡惠山经济开发区惠山大道1699号七号楼四层A区、四层B区、五层A区、B007
无锡优能医疗设备有限公司,3000万元人民币,无锡惠山经济开发区堰桥配套区堰宏路58号1号楼101室
无锡三捷医疗科技有限公司,1000万元人民币,无锡市新锦路18
江苏拉塞尔医疗器械制造有限公司,5000万元人民币,无锡惠山经济开发区惠山大道1719-5号一层A区
江苏利昊医疗器械有限公司,500万元人民币,宜兴市宜城街道巷头东路52号-B
江苏源智医疗科技有限公司,1000万元人民币,无锡市惠山区中惠大道1588号12号楼501室(城铁惠山站区)
江苏泰而康医疗科技有限公司,5000万元人民币,无锡市滨湖区蠡园开发区06-4地块(滴翠路100号)5幢3层
江阴市普慈医疗有限公司,50万元人民币,江阴市祝塘镇景阳西路7号
脉阳医疗科技无锡有限公司,3000万元人民币,无锡市锡山经济开发区春笋西路2号
无锡胜任医疗器材有限公司,100万元人民币,无锡市蠡园开发区标准写字楼A2-3第六层(通道)605-606室
江苏新优医疗用品有限公司,1000万元人民币,宜兴市宜城街道东尤场39号
无锡圣鑫铭医疗科技有限公司,1000万元人民币,无锡市高浪东路999-7幢1509室
无锡瑞城医疗科技有限公司,300万元人民币,无锡市滨湖区建筑西路586号建苑大厦901
江苏新白医疗技术有限公司,3000万元人民币,宜兴市高塍镇远东大道66号中国宜兴国际环保城37幢121室
无锡市大明医疗器械有限公司,800万元人民币,宜兴市新街街道新城路1号704室、705室、712室、713室、714室、715室
江苏倍乐唯医疗科技有限公司,1000万元人民币,无锡市梁溪区民丰路279号盛唐乐享城B栋1501、1502、1503、1504、1505室
爱思开医疗管理（无锡）有限公司,1400万元人民币,无锡新区菱湖大道200号中国传感网国际创新园D2-608
端源医疗科技无锡有限公司,2000万元人民币,无锡惠山经济开发区惠山大道1719-1号一号楼一层A区、B区、C区、二层A区、B区
江阴瑞诚医疗器械有限公司,201万元人民币,江阴市芦花路407号1515、1516(万达广场)
无锡宏霸医疗科技有限公司,880万元人民币,无锡市新吴区漓江路5号一号楼
江苏乾康医疗器械有限公司,2000万元人民币,宜兴市和桥镇鹅州南路318号
江阴苏盛医疗有限公司,50万元人民币,江阴市璜土镇石庄花港苑综合市场C区40号
江苏汉斯博瑞医疗科技有限公司,1000万元人民币,无锡市新吴区金城东路513号
无锡慈济医疗器械有限公司,500万元人民币,无锡市梁溪区兴源北路401号北创科技园一期大楼2031
无锡东南医疗有限公司,20万元人民币,无锡市滨湖区南泉庭园58-47、48
江阴立盛医疗用品有限公司,250万元人民币,江阴市长泾镇开元路10号
无锡优影医疗科技有限公司,100万元人民币,无锡市惠山区前洲街道铁路桥村(城铁惠山站区)
无锡金茂惠山医疗健康产业投资合伙企业（有限合伙）,19000万元人民币,无锡市惠山经济开发区惠山大道1699号1209室(开发区)
无锡康莱医疗科技有限公司,666.67万元人民币,无锡惠山经济开发区惠山大道1699号3111室(开发区)
江苏鼎顺医疗用品有限公司,1000万元人民币,江阴市周庄镇云顾路533号
江苏潇安医疗器械有限公司,2000万元人民币,无锡市新吴区鸿运路156-213
江苏华杨医疗科技有限公司,2000万元人民币,江阴市申港街道镇澄路1488号
无锡博丰医疗器械有限公司,100万元人民币,无锡市滨湖区月秀花园44-134
无锡市程冯医疗器械有限公司,150万元人民币,无锡市梁溪区会西路30-2号三楼(东)
无锡禾韵医疗技术有限公司,800万元人民币,无锡市锡山经济技术开发区芙蓉中三路99号
无锡汇联鑫康医疗科技有限公司,400万元人民币,无锡市新吴区锡贤路130号
无锡信达医疗器械有限公司,40万美元,无锡市锡山区锡北镇张泾
无锡越泽医疗科技有限公司,600万元人民币,无锡市惠山区洛社镇石塘湾陡门村
无锡祺久精密医疗器械有限公司,1500万元人民币,无锡市滨湖区绣溪路58-12二楼
派诺医疗器械无锡有限公司,500万元人民币,无锡惠山经济开发区惠山大道1719-1号一号楼二层C区
无锡安特诺医疗科技有限公司,500万美元,无锡惠山经济开发区惠山大道1719-1号508室
无锡瑞巴斯医疗器械有限公司,2000万元人民币,无锡市锡山经济开发区芙蓉中三路99号
无锡畅道医疗器械有限公司,500万元人民币,无锡市滨湖区马山梅梁路188号2号楼2层
美湖西上医疗科技（无锡）有限公司,1000万元人民币,无锡市滨湖区马山梅梁路136号七楼
江苏博鸣医疗科技有限公司,2000万元人民币,无锡市新吴区长江北路284-701
江苏浦乐医疗用品有限公司,2000万元人民币,无锡市惠山区堰桥街道堰翔路21
无锡市济康医疗有限公司,500万元人民币,无锡市滨湖区环湖路58号
无锡星皓医疗仪器有限公司,300万元人民币,无锡市广石西路844、846号
江苏卫邦医疗用品有限公司,2000万元人民币,无锡市新吴区长江北路282-2621
无锡富辰医疗用品有限公司,100万元人民币,无锡惠山经济开发区智慧路33号华清创意园37栋902-2
无锡格瑞普恩医疗科技有限公司,500万元人民币,无锡市新区菱湖大道228号A1-607
江苏惠荣通医疗投资有限公司,1000万元人民币,无锡市梁溪区广瑞路1228-904
江阴市长海医疗科技有限公司,1800万元人民币,江阴市东盛西路2号生物医药加速器A3楼1单元1-2层
江苏大榕树医疗有限公司,1000万元人民币,无锡市蠡园开发区06-4地块(滴翠路100号)B幢908、910室
无锡赟腾医疗科技有限公司,1000万元人民币,无锡市锡山经济技术开发区芙蓉中三路99号
爱思尔（无锡）医疗器械有限公司,200万美元,无锡市锡山经济技术开发区联福路601号
无锡西锐医疗器械有限公司,1000万元人民币,江阴市锡澄路177号
江苏海伦达医疗管理有限公司,2000万元人民币,宜兴市宜城街道阳泉西路156号
无锡市神奇医疗器械有限公司,150万元人民币,宜兴市徐舍镇民北路27、29号
江阴洁尔口腔医疗有限公司,180万元人民币,江阴市中山北路26号
无锡神宇医疗科技有限公司,2000万元人民币,无锡市锡山区厚桥街道新联村
无锡天天向上医疗投资有限公司,2000万元人民币,无锡蠡园开发区吟白路1号研创大厦10楼1007室
江阴神农光华医疗器械有限公司,800万元人民币,江阴市嘉年华城市广场二期滨江路536号1201室1202室
无锡上云医疗器械有限公司,600万元人民币,无锡市新区太湖国际科技园菱湖大道200号E栋三楼E327
无锡鸿羽医疗科技有限公司,500万元人民币,无锡惠山经济开发区惠山大道1719-3号二号楼三层A区
本森医疗管理江阴有限公司,200万元人民币,江阴市滨江西路2号1号楼205室
无锡夜龙医疗器械有限公司,200万元人民币,无锡市南湖大道501号扬名创智园G栋205
无锡百源医疗用品有限公司,100万元人民币,无锡市滨湖区华庄街道嘉业路5号
江苏施罗德医疗科技有限公司,2000万元人民币,无锡蠡园开发区标准厂房A1第三层西侧
无锡市人民医疗器械有限公司,101万元人民币,无锡市北塘大街80号
赛珂无锡医疗科技有限公司,1000万元人民币,无锡惠山经济开发区惠山大道1719-1号1号楼三层C区
国药集团无锡医疗器械有限公司,3000万元人民币,无锡市滨湖区隐秀路901-2-1701
无锡蝶和医疗技术有限公司,500万元人民币,无锡市新吴区菱湖大道200号中国传感网国际创新园G8栋5楼
无锡润晶医疗器械有限公司,100万元人民币,无锡市惠山区阳山镇陆区天顺路16-4号
无锡易可医疗投资有限公司,2000万元人民币,无锡新吴区清源路20号传感网大学科技园立业楼E区710-1号
江苏云瑞医疗科技有限公司,1000万元人民币,无锡市滨湖区鸿桥路801-314
无锡米诺医疗科技有限公司,1000万元人民币,无锡市锡山开发区工业园六期9号厂房北段春江西路169号
无锡宝恒医疗器械有限公司,980万元人民币,无锡市滨湖区锦溪路100号科教创业园3号楼3160
江苏泽康医疗科技有限公司,1000万元人民币,无锡市新吴区无锡中关村软件园22号楼
无锡联美医疗科技有限公司,198万元人民币,无锡市广益路311-1515
