广东,广州市,440100,383636
广东,韶关市,440200,2962
广东,深圳市,440300,117277
广东,珠海市,440400,8204
广东,汕头市,440500,6943
广东,佛山市,440600,41437
广东,江门市,440700,37805
广东,湛江市,440800,4462
广东,茂名市,440900,6432
广东,肇庆市,441200,3703
广东,惠州市,441300,6237
广东,梅州市,441400,4762
广东,汕尾市,441500,3439
广东,河源市,441600,3607
广东,阳江市,441700,2214
广东,清远市,441800,4222
广东,东莞市,441900,16175
广东,中山市,442000,5657
广东,潮州市,445100,5897
广东,揭阳市,445200,2890
广东,云浮市,445300,2362
北京,东城区,110101,2683
北京,西城区,110102,2837
北京,朝阳区,110105,5304
北京,丰台区,110106,4839
北京,石景山区,110107,2259
北京,海淀区,110108,7025
北京,门头沟区,110109,796
北京,房山区,110111,3482
北京,通州区,110112,4823
北京,顺义区,110113,4806
北京,昌平区,110114,3981
北京,大兴区,110115,4055
北京,怀柔区,110116,3303
北京,平谷区,110117,2554
北京,密云区,110118,7143
北京,延庆区,110119,3146
江苏,南京市,320100,27159
江苏,无锡市,320200,21969
江苏,徐州市,320300,29387
江苏,常州市,320400,15624
江苏,苏州市,320500,33120
江苏,南通市,320600,20531
江苏,连云港市,320700,7972
江苏,淮安市,320800,19174
江苏,盐城市,320900,15727
江苏,扬州市,321000,16848
江苏,镇江市,321100,6976
江苏,泰州市,321200,11742
江苏,宿迁市,321300,40717
上海,黄浦区,310101,1917
上海,徐汇区,310104,2255
上海,长宁区,310105,1745
上海,静安区,310106,3039
上海,普陀区,310107,4708
上海,虹口区,310109,3968
上海,杨浦区,310110,3191
上海,闵行区,310112,9468
上海,宝山区,310113,7611
上海,嘉定区,310114,17429
上海,浦东新区,310115,19704
上海,金山区,310116,19136
上海,松江区,310117,14306
上海,青浦区,310118,12599
上海,奉贤区,310120,34790
上海,崇明区,310151,9466
浙江,杭州市,330100,71513
浙江,宁波市,330200,33922
浙江,丽水市,331100,12421
四川,成都市,510100,60263
四川,乐山市,511100,4948
四川,南充市,511300,4042
四川,巴中市,511900,3619
四川,资阳市,512000,7335
四川,阿坝藏族羌族自治州,513200,1155
四川,甘孜藏族自治州,513300,628
四川,凉山彝族自治州,513400,3150
山东,济南市,370100,61139
山东,青岛市,370200,82282
山东,淄博市,370300,28595
山东,枣庄市,370400,16717
山东,东营市,370500,13165
山东,烟台市,370600,26387
山东,潍坊市,370700,46475
山东,济宁市,370800,32403
山东,泰安市,370900,17332
山东,威海市,371000,14299
山东,日照市,371100,13917
山东,临沂市,371300,20493
山东,德州市,371400,18783
山东,聊城市,371500,24280
山东,滨州市,371600,10371
山东,菏泽市,371700,21150
河北,石家庄市,130100,30944
河北,唐山市,130200,25717
河北,秦皇岛市,130300,11316
河北,邯郸市,130400,16703
河北,邢台市,130500,20643
河北,保定市,130600,57755
河北,张家口市,130700,12925
河北,承德市,130800,14871
河北,沧州市,130900,15259
河北,廊坊市,131000,18994
河北,衡水市,131100,11608
河南,郑州市,410100,40242
河南,开封市,410200,5200
河南,洛阳市,410300,16060
河南,平顶山市,410400,10605
河南,安阳市,410500,7087
河南,鹤壁市,410600,4130
河南,新乡市,410700,12085
